RoadSpeed,TirePressure,InclinationAngle,NormalForce,SlipAngle,ElapsedTime,Index
25,12,0,-252.26,7.852,14.34,A2356raw14.mat_Line1435
25,12,0,-248.25,7.774,14.35,A2356raw14.mat_Line1436
25,12,0,-244.64,7.688,14.36,A2356raw14.mat_Line1437
25,12,0,-243.2,7.607,14.37,A2356raw14.mat_Line1438
25,12,0,-243.82,7.513,14.38,A2356raw14.mat_Line1439
25,12,0,-246.08,7.434,14.39,A2356raw14.mat_Line1440
25,12,0,-249.74,7.35,14.4,A2356raw14.mat_Line1441
25,12,0,-253.39,7.265,14.41,A2356raw14.mat_Line1442
25,12,0,-255.78,7.174,14.42,A2356raw14.mat_Line1443
25,12,0,-256.74,7.086,14.43,A2356raw14.mat_Line1444
25,12,0,-255.32,6.995,14.44,A2356raw14.mat_Line1445
25,12,0,-252.48,6.91,14.45,A2356raw14.mat_Line1446
25,12,0,-248.72,6.824,14.46,A2356raw14.mat_Line1447
25,12,0,-245,6.746,14.47,A2356raw14.mat_Line1448
25,12,0,-243.55,6.66,14.48,A2356raw14.mat_Line1449
25,12,0,-243.59,6.584,14.49,A2356raw14.mat_Line1450
25,12,0,-245.51,6.499,14.5,A2356raw14.mat_Line1451
25,12,0,-248.95,6.422,14.51,A2356raw14.mat_Line1452
25,12,0,-252.13,6.343,14.52,A2356raw14.mat_Line1453
25,12,0,-254.86,6.277,14.53,A2356raw14.mat_Line1454
25,12,0,-255.55,6.199,14.54,A2356raw14.mat_Line1455
25,12,0,-254.74,6.118,14.55,A2356raw14.mat_Line1456
25,12,0,-252.13,6.05,14.56,A2356raw14.mat_Line1457
25,12,0,-248.13,5.958,14.57,A2356raw14.mat_Line1458
25,12,0,-245.14,5.891,14.58,A2356raw14.mat_Line1459
25,12,0,-243.51,5.815,14.59,A2356raw14.mat_Line1460
25,12,0,-244.11,5.736,14.6,A2356raw14.mat_Line1461
25,12,0,-245.42,5.656,14.61,A2356raw14.mat_Line1462
25,12,0,-248.91,5.584,14.62,A2356raw14.mat_Line1463
25,12,0,-251.79,5.497,14.63,A2356raw14.mat_Line1464
25,12,0,-254.17,5.423,14.64,A2356raw14.mat_Line1465
25,12,0,-255.23,5.329,14.65,A2356raw14.mat_Line1466
25,12,0,-254.37,5.251,14.66,A2356raw14.mat_Line1467
25,12,0,-252.7,5.182,14.67,A2356raw14.mat_Line1468
25,12,0,-248.14,5.076,14.68,A2356raw14.mat_Line1469
25,12,0,-245.62,4.993,14.69,A2356raw14.mat_Line1470
25,12,0,-243.71,4.914,14.7,A2356raw14.mat_Line1471
25,12,0,-244.29,4.825,14.71,A2356raw14.mat_Line1472
25,12,0,-246.33,4.741,14.72,A2356raw14.mat_Line1473
25,12,0,-249.12,4.655,14.73,A2356raw14.mat_Line1474
25,12,0,-251.92,4.579,14.74,A2356raw14.mat_Line1475
25,12,0,-254.19,4.499,14.75,A2356raw14.mat_Line1476
25,12,0,-255.31,4.423,14.76,A2356raw14.mat_Line1477
25,12,0,-253.73,4.344,14.77,A2356raw14.mat_Line1478
25,12,0,-251.59,4.268,14.78,A2356raw14.mat_Line1479
25,12,0,-247.66,4.197,14.79,A2356raw14.mat_Line1480
25,12,0,-245.08,4.135,14.8,A2356raw14.mat_Line1481
25,12,0,-243.65,4.049,14.81,A2356raw14.mat_Line1482
25,12,0,-243.74,3.972,14.82,A2356raw14.mat_Line1483
25,12,0,-248.86,3.815,14.84,A2356raw14.mat_Line1485
25,12,0,-252.29,3.742,14.85,A2356raw14.mat_Line1486
