RoadSpeed,TirePressure,InclinationAngle,NormalForce,SlipAngle,ElapsedTime,LateralForce,Index
25,12,0,-227.06,-4.185,15.84,429.28,A2356raw4.mat_Line1585
25,12,0,-230.2,-4.257,15.85,431.57,A2356raw4.mat_Line1586
25,12,0,-231.46,-4.34,15.86,434.5,A2356raw4.mat_Line1587
25,12,0,-231.54,-4.421,15.87,437.3,A2356raw4.mat_Line1588
25,12,0,-215.59,-4.579,15.88,467.32,A2356raw6.mat_Line1589
25,12,0,-227.37,-4.583,15.89,441.36,A2356raw4.mat_Line1590
25,12,0,-226.09,-4.658,15.9,442.76,A2356raw4.mat_Line1591
25,12,0,-225.39,-4.724,15.91,445.25,A2356raw4.mat_Line1592
25,12,0,-226.4,-4.818,15.92,448.2,A2356raw4.mat_Line1593
25,12,0,-228.77,-4.89,15.93,451.11,A2356raw4.mat_Line1594
25,12,0,-231.5,-4.973,15.94,453.72,A2356raw4.mat_Line1595
25,12,0,-234.63,-5.064,15.95,456.04,A2356raw4.mat_Line1596
25,12,0,-238.6,-5.216,15.97,460.96,A2356raw4.mat_Line1598
25,12,0,-238.46,-5.293,15.98,462.36,A2356raw4.mat_Line1599
25,12,0,-237.37,-5.375,15.99,462.85,A2356raw4.mat_Line1600
25,12,0,-235.54,-5.445,16,462.56,A2356raw4.mat_Line1601
25,12,0,-233.08,-5.53,16.01,461.47,A2356raw4.mat_Line1602
25,12,-0,-233.14,-5.617,16.02,461.66,A2356raw4.mat_Line1603
25,12,0,-233.97,-5.703,16.03,462.89,A2356raw4.mat_Line1604
25,12,0,-234.98,-5.775,16.04,465.33,A2356raw4.mat_Line1605
25,12,0,-237.35,-5.866,16.05,467.64,A2356raw4.mat_Line1606
25,12,0,-239.43,-5.946,16.06,469.94,A2356raw4.mat_Line1607
25,12,0,-241.32,-6.021,16.07,471.8,A2356raw4.mat_Line1608
25,12,0,-243.23,-6.184,16.09,473.64,A2356raw4.mat_Line1610
25,12,0,-242.38,-6.264,16.1,473.66,A2356raw4.mat_Line1611
25,12,0,-240.7,-6.342,16.11,472.6,A2356raw4.mat_Line1612
25,12,0,-239.08,-6.427,16.12,471.54,A2356raw4.mat_Line1613
25,12,0,-237.29,-6.51,16.13,470.92,A2356raw4.mat_Line1614
25,12,0,-238.15,-6.662,16.15,471.83,A2356raw4.mat_Line1616
25,12,0,-239.14,-6.741,16.16,473.2,A2356raw4.mat_Line1617
