ET,SA,SR,IA,FZ,V,P ,REIn,TS,FX,FY,MX,MY,MZ,REOut,RL,T,TX
s,rad,-,rad,N,m/s,Pa,m,1/m,N,N,Nm,Nm,Nm,m,m,m,m
0,-0.017011365,-0.987199173,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-61.04378654,577.4788537,-13.02486778,0,-29.80704735,-1046.870012,0.193961695,0,0
0,-0.011738502,-0.989450881,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-55.52741479,396.3408737,-10.09516757,0,-20.44841435,-1233.35068,0.193560692,0,0
0,-0.006400792,-1.000817512,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-59.49699587,191.4136852,-7.127009863,0,-11.7631511,-850.5646454,0.191260059,0,0
0,-0.001484069,-0.989672259,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-59.49276484,14.97674705,-3.115631368,0,-3.773263636,-174.4095779,0.193408744,0,0
0,0.004505692,-0.990597834,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-64.3382928,-188.0977036,0.486558844,0,5.768917469,603.7298789,0.193300314,0,0
0,0.009946404,-1.005157991,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-57.16109256,-365.7874866,2.727688635,0,14.38162458,2032.779919,0.190396918,0,0
0,0.015109577,-1.008371201,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-49.17140044,-521.8101441,5.775402254,0,22.78387895,1796.685873,0.189722493,0,0
0,0.020532325,-1.01601296,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-49.95344266,-676.2593061,7.642320522,0,29.62278103,-842.4501618,0.188177747,0,0
0,0.026449605,-1.032496211,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-45.28607625,-820.9054222,10.30345596,0,33.08761604,628.5819294,0.185030789,0,0
0,0.031045284,-1.02219844,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-46.78324787,-943.156692,12.38684231,0,35.10952836,1423.925817,0.186798425,0,0
0,0.03671977,-1.038342233,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-36.04153341,-1063.743762,14.67071265,0,44.12915127,1689.263713,0.183739726,0,0
0,0.042339185,-1.053069409,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-29.72709732,-1187.999111,16.04542539,0,47.18964332,2040.155865,0.180937253,0,0
0,0.047032788,-1.040726733,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-38.66718531,-1303.05488,18.16743715,0,48.25073173,1539.606842,0.182913959,0,0
0,0.053317457,-1.052199252,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-37.112832,-1413.062265,19.89447511,0,52.25063783,819.4432627,0.180738697,0,0
0,0.05822099,-1.053507044,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-23.74841645,-1518.201245,21.83054755,0,54.43580378,791.2562031,0.180282019,0,0
0,0.062822547,-1.045468269,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-30.63091882,-1619.525149,23.96903064,0,56.36795934,1183.337367,0.181475462,0,0
0,0.069560683,-1.05180028,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-26.25209362,-1724.972878,25.41938994,0,57.47002282,1091.693663,0.180182089,0,0
0,0.074140348,-1.048472728,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-16.86148486,-1811.272567,26.39022695,0,56.25130341,1626.558847,0.180559542,0,0
0,0.07910386,-1.046343345,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-23.2186651,-1884.746413,28.46975162,0,56.54640794,1398.993764,0.180775204,0,0
0,0.086238276,-1.049919578,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-21.84664945,-1967.33574,30.35437266,0,55.36577661,911.5982114,0.17992141,0,0
0,0.090722005,-1.014630358,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-12.78780054,-2159.534777,31.29623708,0,54.64106182,54.94495644,0.186919789,0,0
0,0.095176972,-1.005607907,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-14.6749432,-2244.160763,32.48409278,0,52.40466904,899.2999051,0.188536802,0,0
