RoadSpeed,TirePressure,InclinationAngle,NormalForce,SlipAngle,ElapsedTime,LateralForce,Index,FY
25,12,0,-245.42,5.656,14.61,-431.65,A2356raw14.mat_Line1462,-582.505495787905
25,12,0,-248.91,5.584,14.62,-444.86,A2356raw14.mat_Line1463,-591.625786978091
25,12,0,-251.79,5.497,14.63,-459.8,A2356raw14.mat_Line1464,-599.215907435874
25,12,0,-254.17,5.423,14.64,-473.33,A2356raw14.mat_Line1465,-605.50936565678
25,12,0,-255.23,5.329,14.65,-482.66,A2356raw14.mat_Line1466,-608.418874610646
25,12,0,-254.37,5.251,14.66,-483.46,A2356raw14.mat_Line1467,-606.315442443519
25,12,0,-252.7,5.182,14.67,-475.52,A2356raw14.mat_Line1468,-602.096063126458
25,12,0,-248.14,5.076,14.68,-461.52,A2356raw14.mat_Line1469,-590.457180489276
25,12,0,-245.62,4.993,14.69,-445.98,A2356raw14.mat_Line1470,-584.085399753212
25,12,0,-243.71,4.914,14.7,-434.46,A2356raw14.mat_Line1471,-579.294500462321
25,12,0,-244.29,4.825,14.71,-430.74,A2356raw14.mat_Line1472,-580.963487936186
25,12,0,-246.33,4.741,14.72,-434.95,A2356raw14.mat_Line1473,-586.410252667661
25,12,0,-249.12,4.655,14.73,-444.57,A2356raw14.mat_Line1474,-593.82565557949
25,12,0,-251.92,4.579,14.74,-456.25,A2356raw14.mat_Line1475,-601.271398537423
25,12,0,-254.19,4.499,14.75,-467.14,A2356raw14.mat_Line1476,-607.370151540481
25,12,0,-255.31,4.423,14.76,-473.84,A2356raw14.mat_Line1477,-610.476972846881
25,12,0,-253.73,4.344,14.77,-474.31,A2356raw14.mat_Line1478,-606.553121838873
25,12,0,-251.59,4.268,14.78,-466.69,A2356raw14.mat_Line1479,-601.170928141732
25,12,0,-247.66,4.197,14.79,-453.01,A2356raw14.mat_Line1480,-591.131012167087
25,12,0,-245.08,4.135,14.8,-437.77,A2356raw14.mat_Line1481,-584.596478805754
